file_name,pesq noisy,h4d5 trained on all,h8d5 trained on all,h12d5 trained on all,h24d5 trained on all,h48d5 trained on all,h4d5 transfer on metro_station,h8d5 transfer on metro_station,h12d5 transfer on metro_station,h24d5 transfer on metro_station,h48d5 transfer on metro_station
SNRdb5_p303_130_1129,1.1408432722091677,1.254610896110535,1.2617466449737549,1.219685673713684,1.175933837890625,1.3168251514434814,1.2024476528167725,1.23832106590271,1.2063424587249756,1.2572940587997437,1.1981452703475952
SNRdb10_p251_104_1129,1.7254111766815186,2.1754956245422363,2.4196009635925293,2.3784258365631104,2.619748830795288,2.5650877952575684,2.1524534225463867,2.1637771129608154,2.667816162109375,2.747897863388061,2.57458758354187
SNRdb20_p251_024_1129,2.426762342453003,2.488450050354004,2.343292474746704,2.6464407444000244,2.589226484298706,2.4262287616729736,2.5241858959198,2.450930595397949,2.7528886795043945,2.7309558391571045,2.4395751953125
SNRdb0_p249_269_1130,1.0840562582015991,1.169410228729248,1.2486703395843506,1.1730555295944214,1.2265956401824951,1.2564859390258791,1.2921957969665527,1.2853224277496338,1.3194583654403689,1.2698957920074463,1.3160338401794434
SNRdb5_p303_220_1130,1.1001416444778442,1.268144965171814,1.4031078815460205,1.3450605869293213,1.4750304222106934,1.5284377336502075,1.364615797996521,1.4654847383499146,1.726960062980652,1.623223066329956,1.653592586517334
SNRdb10_p343_341_1130,1.2638036012649536,1.8586015701293943,1.7178151607513428,1.7995672225952148,1.8097915649414065,1.9499919414520264,1.7278227806091309,1.685821294784546,1.9396969079971316,2.1980352401733403,2.1194305419921875
SNRdb20_p306_139_1130,1.5601515769958496,1.7676072120666504,2.0789213180541988,2.323856830596924,1.7265878915786743,1.711766481399536,1.6901121139526367,2.0285356044769287,2.4567997455596924,1.7550523281097412,2.589172124862671
SNRdb0_p249_024_1132,1.0386837720870972,1.1482206583023071,1.1645302772521973,1.151481032371521,1.1983437538146973,1.2482056617736816,1.1712095737457275,1.1488919258117676,1.195352554321289,1.2988297939300537,1.2574645280838013
SNRdb5_p249_255_1132,1.1511110067367554,1.2771453857421875,1.4207558631896973,1.2755184173583984,1.6398968696594238,1.6281087398529053,1.3848391771316528,1.6463670730590818,1.5080004930496216,1.591441631317139,1.575685739517212
SNRdb10_p335_184_1132,1.197977066040039,1.7705230712890625,1.9164934158325195,1.8517553806304927,1.8645181655883791,2.090493440628052,1.6287643909454346,2.0632784366607666,1.994229078292847,2.1522860527038574,1.9101524353027344
SNRdb20_p306_119_1132,1.9754831790924072,2.4603734016418457,2.7235376834869385,2.441532850265503,2.6665635108947754,2.8211209774017334,2.3818655014038086,2.8262126445770264,2.720446348190308,2.71148681640625,2.843014001846313
SNRdb0_p246_227_1140,1.0966932773590088,1.1552997827529907,1.154434323310852,1.2137222290039062,1.248439073562622,1.3808262348175049,1.2105461359024048,1.2826848030090332,1.255774736404419,1.4385195970535278,1.4861996173858645
SNRdb5_p303_074_1140,1.165022373199463,1.4423489570617676,1.5984079837799072,1.5664029121398926,1.9413864612579343,1.7347443103790283,1.5639709234237669,1.7494240999221802,1.7006111145019531,1.9269354343414309,1.6991021633148191
SNRdb10_p251_050_1140,1.400758147239685,1.7589006423950195,1.4525742530822754,1.5697476863861084,1.5539588928222656,1.4718014001846311,1.8488421440124512,1.5071167945861816,2.1578502655029297,2.2982680797576904,2.16438102722168
SNRdb20_p306_202_1140,2.454384088516236,2.7045857906341557,2.8841025829315186,2.8395607471466064,2.8851187229156494,2.8438563346862797,2.661672830581665,2.9728922843933105,2.881100416183472,2.7467129230499268,2.815119981765747
SNRdb0_p303_087_1169,1.0439469814300537,1.1353425979614258,1.2247837781906128,1.1207311153411863,1.1956750154495241,1.2208164930343628,1.128919243812561,1.2332075834274292,1.1657248735427856,1.3012936115264893,1.202422857284546
SNRdb5_p281_151_1169,1.2796286344528198,1.346332311630249,1.4105359315872192,1.4223369359970093,1.5415887832641602,1.7940995693206787,1.620269775390625,1.7182995080947876,1.782758712768555,2.0125288963317867,1.7780497074127195
SNRdb10_p281_313_1169,1.373118877410889,1.49321448802948,1.4084430932998655,1.4970781803131104,1.8242006301879885,1.877016544342041,1.565162181854248,1.6708223819732666,1.812281966209412,1.9454303979873655,1.8086482286453247
SNRdb20_p306_133_1169,1.944100379943848,2.31917142868042,2.587058782577514,2.564362049102783,2.692918062210083,2.6955039501190186,2.4845654964447017,2.6257927417755127,2.66631293296814,2.803523302078247,2.608050346374512
SNRdb0_p249_125_119,1.0595457553863523,1.1873841285705566,1.286505103111267,1.1950039863586426,1.3205881118774414,1.359736680984497,1.1839975118637085,1.2095952033996582,1.2336024045944214,1.2913403511047363,1.2800039052963257
SNRdb5_p249_340_119,1.148855686187744,1.2815600633621216,1.5169146060943604,1.437084674835205,1.6679179668426514,1.726336121559143,1.375338435173035,1.6165767908096311,1.5286917686462402,1.7342876195907593,1.7288999557495115
SNRdb10_p343_389_119,1.2219369411468506,1.861138701438904,1.8415639400482176,1.9849796295166016,1.86323082447052,2.4732911586761475,1.8724075555801392,1.8732264041900637,2.319507598876953,2.369551658630371,2.2568471431732178
SNRdb20_p360_005_119,1.817734956741333,2.0041766166687007,2.0151903629302983,2.112789869308472,2.0370607376098637,2.341928482055664,2.048966646194458,2.100159168243408,2.37585711479187,2.3811066150665283,2.244259595870972
SNRdb0_p339_389_1207,1.3985601663589478,1.921205759048462,2.1733953952789307,2.1417059898376465,2.335355281829834,2.4753451347351074,2.1178636550903316,2.1904036998748784,2.3264169692993164,2.2568023204803467,2.287248134613037
SNRdb5_p251_270_1207,1.6539359092712402,2.381386041641236,2.244593620300293,2.1254644393920903,2.489278078079224,2.5167558193206787,2.2692437171936035,2.322964668273926,2.5716984272003174,2.560762882232666,2.7458117008209233
SNRdb10_p360_191_1207,2.805331230163574,3.1461181640625,3.1644020080566406,2.8066956996917725,3.0113310813903813,3.2318334579467773,3.211352825164795,3.2206368446350098,3.1517622470855717,3.05141830444336,3.0611824989318848
SNRdb20_p306_086_1207,3.341210126876831,3.197316169738769,3.171391248703003,3.2838366031646733,3.194363832473755,2.927499532699585,2.962223052978516,3.0939323902130127,3.08598256111145,3.0067353248596187,2.8438034057617188
SNRdb0_p360_243_1209,1.0675796270370483,1.1057173013687134,1.1109405755996704,1.1074111461639404,1.1330251693725586,1.1769287586212158,1.141074538230896,1.1872072219848633,1.150826096534729,1.2462412118911743,1.213506817817688
SNRdb5_p343_204_1209,1.0551128387451172,1.3109205961227417,1.271448254585266,1.2994506359100342,1.45850932598114,1.590402364730835,1.331867814064026,1.241485595703125,1.393760085105896,1.493264079093933,1.4902619123458862
