file_name,pesq noisy,h4d5 trained on all,h8d5 trained on all,h12d5 trained on all,h24d5 trained on all,h48d5 trained on all,h4d5 transfer on car,h8d5 transfer on car,h12d5 transfer on car,h24d5 transfer on car,h48d5 transfer on car
SNRdb0_p281_305_1276,1.273157835006714,1.7590718269348145,1.944186210632324,2.1564629077911377,2.0751519203186035,2.316378593444824,2.236074447631836,2.3366196155548096,2.284653186798096,2.660339593887329,2.5259928703308105
SNRdb5_p298_282_1276,1.930610537528992,3.000107288360596,3.1425042152404785,3.2672913074493413,3.17699933052063,3.463366985321045,3.383996963500977,3.476011037826538,3.3271770477294917,3.4144108295440674,3.6472887992858887
SNRdb10_p299_307_1276,2.5450284481048584,3.47720718383789,3.529359102249145,3.2754697799682617,3.4891085624694824,3.4886553287506104,3.8602588176727295,3.808085203170776,3.8672127723693848,3.9319095611572266,3.877161264419556
SNRdb20_p306_137_1276,3.813051700592041,3.5767619609832764,3.5604665279388428,3.5371286869049072,3.4971418380737305,3.541264533996582,3.935710906982422,3.95479416847229,3.9829423427581783,3.966086626052856,3.4974901676177983
SNRdb0_p339_320_1293,1.2924857139587402,1.6019141674041748,1.958350658416748,2.098219633102417,1.88434100151062,2.7070081233978267,2.545007467269897,2.891148328781128,2.717702388763428,3.149037599563598,3.10024356842041
SNRdb5_p281_151_1293,2.0187821388244633,2.6083662509918213,2.7827556133270264,2.6067707538604736,2.803879737854004,2.884119749069214,2.8946874141693115,3.0047495365142822,2.9322831630706787,3.0236854553222656,2.995651960372925
SNRdb10_p306_284_1293,1.6016275882720947,2.267180919647217,2.4004125595092773,2.212040424346924,2.6535019874572754,2.4436676502227783,2.6599740982055664,2.8032760620117188,2.5009708404541016,2.8651773929595947,2.7816050052642822
SNRdb20_p299_386_1293,2.3694541454315186,3.518937587738037,3.4166524410247803,3.1364905834198,3.751444816589356,3.5255885124206543,3.9483256340026855,3.8390426635742183,3.697183847427368,3.92387318611145,3.924280643463135
SNRdb0_p299_287_1297,1.2065647840499878,1.9328234195709229,1.7468506097793581,1.6913281679153442,2.13625717163086,1.9694492816925049,1.948096513748169,2.003626108169556,2.1814224720001216,2.0563342571258545,2.3157124519348145
SNRdb5_p249_024_1297,1.4080287218093872,2.3517236709594727,2.6044089794158936,2.5257737636566158,2.577531099319458,3.0103321075439453,3.103655815124512,3.2349438667297363,2.9298915863037114,3.3028724193573,3.1836147308349614
SNRdb10_p249_262_1297,1.6663451194763184,2.728972911834717,2.9334092140197754,2.6963438987731934,2.985369682312012,3.0485897064208984,3.2253925800323486,3.471421003341675,3.4182567596435547,3.54422926902771,3.5804100036621094
SNRdb20_p343_090_1297,1.56607186794281,3.3277246952056885,3.2534389495849614,3.3614809513092037,3.370969295501709,3.120790719985962,3.6903781890869136,2.3361530303955083,3.604169607162476,3.658583164215088,3.4460091590881348
SNRdb0_p299_093_1310,1.2690496444702148,1.5377665758132937,1.8700045347213743,1.7277450561523438,2.02981185913086,2.65480375289917,2.2296481132507324,2.9234998226165767,2.4362151622772217,2.819874048233032,3.059860944747925
