file_name,pesq noisy,h4d5 trained on all,h8d5 trained on all,h12d5 trained on all,h24d5 trained on all,h48d5 trained on all,h4d5 transfer on city_center,h8d5 transfer on city_center,h12d5 transfer on city_center,h24d5 transfer on city_center,h48d5 transfer on city_center
SNRdb0_p281_262_114,1.0666097402572632,1.3474302291870115,1.4348185062408447,1.3331161737442017,1.4516115188598633,1.4767289161682131,1.400468826293945,1.5287504196166992,1.8396522998809812,1.5656416416168213,1.611174702644348
SNRdb5_p306_319_114,1.1215009689331057,1.2773551940917969,1.4760717153549194,1.332153081893921,1.3423932790756226,1.387193202972412,1.2949819564819336,1.4146298170089722,1.4196316003799438,1.6108038425445557,1.41500985622406
SNRdb10_p306_199_114,1.2172390222549438,1.6366028785705566,2.062949180603028,1.7727866172790527,2.0995316505432133,2.068634271621704,1.6993956565856934,1.8291406631469729,2.032416582107544,2.279876947402954,2.1362781524658203
SNRdb20_p299_147_114,2.4872186183929443,2.94032883644104,3.1902072429656982,2.913468599319458,2.881720304489136,3.4048073291778564,3.080034017562866,3.440810203552246,3.5659611225128174,3.18740463256836,3.5149822235107417
SNRdb0_p249_244_1147,1.1371768712997437,1.4046624898910522,1.3697742223739624,1.5021111965179443,1.6292831897735596,1.6483979225158691,1.5416452884674072,1.59881591796875,1.698249340057373,1.7433137893676758,1.619962215423584
SNRdb5_p281_448_1147,1.0650296211242676,1.324904203414917,1.352571725845337,1.344007968902588,1.5295418500900269,1.6262922286987305,1.4642094373703003,1.4562417268753052,1.5758407115936282,1.7039650678634644,1.5728795528411863
SNRdb10_p335_406_1147,1.5291082859039309,1.648237943649292,2.186572313308716,2.213614225387573,2.699660301208496,2.765272617340088,2.2188878059387207,2.3011181354522705,2.2816390991210938,2.7942683696746826,2.801797866821289
SNRdb20_p303_120_1147,2.2586565017700195,2.437445163726806,2.46697998046875,2.8672585487365723,2.6525700092315674,2.715096950531006,3.032843828201294,3.131921529769897,3.156925678253174,2.9426364898681636,2.856098175048828
SNRdb0_p343_260_1151,1.116686224937439,1.4397454261779783,1.7192275524139404,1.5450953245162964,1.893735647201538,2.06441330909729,1.6655735969543457,1.7905919551849363,1.8887732028961184,2.3631415367126465,2.3530704975128174
SNRdb5_p246_224_1151,1.185630202293396,1.5305318832397459,1.613832712173462,1.7428205013275146,2.0903875827789307,1.94324254989624,1.7130534648895264,1.8500686883926392,2.1277472972869877,2.2021853923797607,2.07497239112854
SNRdb10_p281_007_1151,1.6132051944732666,1.6279649734497068,1.388104796409607,1.7660864591598509,1.9572551250457764,2.316544771194458,1.7841458320617676,2.0148074626922607,2.344888925552368,2.1663897037506104,2.225545644760132
SNRdb20_p281_446_1151,2.559036493301392,2.0617094039916988,2.7684929370880127,2.800476551055908,2.526423215866089,2.8320350646972656,2.5031042098999023,2.9479749202728267,2.8276455402374268,2.961092710494995,2.8481361865997314
SNRdb0_p251_212_1156,1.2105066776275637,1.500058889389038,1.5031571388244631,1.6408278942108154,1.734565258026123,1.8860406875610352,1.752804398536682,1.6461117267608645,2.0441665649414062,2.0216436386108403,1.7684948444366455
SNRdb5_p281_403_1156,1.0903754234313965,1.6636018753051758,1.7355484962463381,1.7256464958190918,1.8362176418304443,1.6353901624679563,1.8504170179367063,1.953805923461914,2.1655702590942383,2.1207013130187993,2.0079479217529297
SNRdb10_p281_007_1156,2.0178029537200928,2.1544084548950195,1.5928051471710205,2.1736283302307133,2.2977404594421387,2.4909346103668213,2.1086220741271973,2.094054937362671,2.618104219436645,2.5810351371765137,2.403025388717652
SNRdb20_p360_263_1156,3.1430184841156006,3.1105518341064453,3.20851993560791,3.0155353546142583,2.9837002754211426,2.8721749782562256,2.8219988346099854,3.0463855266571045,2.828761577606201,3.2224693298339844,3.1383719444274902
SNRdb0_p360_161_1159,1.0953915119171145,1.1937333345413208,1.3339449167251587,1.2056691646575928,1.3606436252593994,1.3806084394454956,1.1630308628082275,1.2787225246429443,1.274370193481445,1.3039610385894775,1.3918988704681396
SNRdb5_p298_288_1159,1.2177153825759888,1.7259236574172974,1.907689332962036,1.7019410133361816,1.9617726802825928,2.04209303855896,1.6652076244354248,1.7988812923431396,1.8681764602661133,1.8658134937286377,2.064780712127685
SNRdb10_p303_344_1159,1.5570282936096191,2.476599931716919,2.695162534713745,2.4681766033172607,2.4924640655517583,2.7331712245941158,2.594296455383301,2.635476589202881,2.7941901683807373,2.518228530883789,2.690295696258545
SNRdb20_p343_087_1159,1.297477126121521,1.5496766567230225,1.5797829627990725,2.8150343894958496,2.7722902297973637,2.8456299304962163,2.546323299407959,1.9620846509933472,2.62751841545105,2.7850582599639893,2.905210256576538
SNRdb0_p306_246_1161,1.0455318689346311,1.1807548999786377,1.2632453441619873,1.2545018196105957,1.3710215091705322,1.5558182001113892,1.266502022743225,1.3503727912902832,1.3984591960906982,1.3567825555801392,1.6509294509887695
SNRdb5_p303_130_1161,1.1049147844314575,1.2364358901977541,1.3834587335586548,1.259274125099182,1.335554599761963,1.3482866287231443,1.2650494575500488,1.5798423290252686,1.3302243947982788,1.6878596544265747,1.327555537223816
SNRdb10_p251_104_1161,1.3934341669082642,1.8269422054290767,1.9585709571838381,1.9849091768264768,2.349592924118042,2.2593929767608643,2.0579171180725098,2.3097219467163086,2.4495465755462646,2.320542097091675,2.4547595977783203
SNRdb20_p251_024_1161,2.2376635074615483,2.413076877593994,2.428882360458374,2.616288423538208,2.491938829421997,2.5618691444396973,2.6920344829559326,2.644409656524658,2.888261079788208,2.699840784072876,2.530739545822144
SNRdb0_p249_269_1173,1.0568684339523315,1.3073681592941284,1.4697787761688232,1.3617544174194336,1.6457650661468506,1.6642297506332395,1.3618483543395996,1.6417851448059082,1.6732527017593384,1.6359701156616209,1.5911611318588257
SNRdb5_p303_220_1173,1.1129169464111328,1.3935643434524536,1.587432622909546,1.507798433303833,1.635284423828125,1.9015977382659912,1.5127257108688354,1.7425289154052734,1.6481904983520508,1.7823038101196291,2.1223986148834233
SNRdb10_p343_341_1173,1.3227592706680298,2.0608012676239014,2.274755477905273,2.0636420249938965,2.4881420135498047,2.517406940460205,2.0428035259246826,2.344372034072876,2.259235620498657,2.537939071655273,2.5791749954223637
SNRdb20_p306_139_1173,1.392717719078064,1.7859137058258057,1.7757217884063718,2.5449211597442627,1.9300901889801023,2.076073408126831,1.9001921415328982,2.4745423793792725,2.287469387054444,2.337164163589477,1.9856137037277224
SNRdb0_p249_024_1181,1.0490931272506714,1.2752716541290283,1.3886866569519043,1.3721128702163696,1.5399432182312012,1.5818994045257568,1.3292796611785889,1.4805405139923096,1.5829336643218994,1.4824432134628296,1.618513107299805
SNRdb5_p249_255_1181,1.1704424619674685,1.3757636547088623,1.790669322013855,1.5649633407592771,1.7225104570388794,1.76862633228302,1.4741003513336182,1.7920819520950315,1.8576265573501587,1.7711944580078125,1.7596538066864014
SNRdb10_p335_184_1181,1.2207351922988892,1.952253341674805,2.269686460494995,2.2154061794281006,2.305978536605835,2.393345355987549,2.2036378383636475,2.345386505126953,2.49349308013916,2.484825134277344,2.564157724380493
SNRdb20_p306_119_1181,1.6875412464141846,2.6011857986450195,2.873448371887207,2.797379970550537,2.9073846340179443,2.9941232204437256,2.850844383239746,3.1048073768615723,3.001840829849243,2.9347531795501713,3.0644121170043945
SNRdb0_p246_227_1202,1.3258216381072998,1.333259344100952,1.350623607635498,1.347658634185791,1.4077624082565308,1.3909566402435305,1.2775661945343018,1.4922897815704346,1.5119549036026,1.4849870204925537,1.436023235321045
SNRdb5_p303_074_1202,1.3623768091201782,2.2677149772644043,2.3240246772766118,2.140770435333252,2.309010982513428,2.239834308624268,2.2472736835479736,2.2490193843841557,2.4467995166778564,2.329289197921753,2.276432991027832
SNRdb10_p251_050_1202,1.4618278741836548,1.5292692184448242,1.576527118682861,1.5060880184173584,1.4203448295593262,1.4999321699142456,1.5324558019638062,1.5241231918334959,1.5762943029403689,1.550039529800415,1.7200188636779783
SNRdb20_p306_202_1202,2.655940294265747,2.6151435375213623,2.787931203842163,2.7292075157165527,2.822714805603028,2.897362232208252,2.6626131534576416,2.9115164279937744,2.6849439144134517,2.6192643642425537,2.8313026428222656
SNRdb0_p303_087_1211,1.0556154251098633,1.200800538063049,1.3779640197753906,1.287475824356079,1.4952718019485474,1.3827192783355713,1.2032263278961182,1.5055357217788696,1.4781371355056765,1.341929316520691,1.4509831666946411
SNRdb5_p281_151_1211,1.42151939868927,1.6382027864456177,1.7405216693878174,1.7216660976409912,2.1616380214691158,2.1719729900360107,1.7551904916763306,2.1753039360046387,1.9680631160736084,2.2814295291900635,2.1970696449279785
SNRdb10_p281_313_1211,1.4279533624649048,1.981863021850586,1.604888677597046,1.8223639726638796,2.143253326416016,2.0271744728088383,2.088068008422852,2.0276894569396973,2.180492401123047,2.176520586013794,1.9337143898010252
SNRdb20_p306_133_1211,2.24031138420105,2.4878835678100586,2.793710470199585,2.721596956253052,2.8863239288330083,2.9209139347076416,2.865678071975708,2.9822194576263428,2.8326287269592285,2.865560293197632,2.7156872749328613
SNRdb0_p249_125_1214,1.1149827241897583,1.4611940383911133,1.4815723896026611,1.7173142433166504,1.8933629989624023,1.851639032363892,1.51359224319458,1.6678618192672732,1.9843065738677976,1.8856877088546755,1.820120096206665
SNRdb5_p249_340_1214,1.2741239070892334,1.5468089580535889,1.7846651077270508,1.7763885259628296,2.155815601348877,2.1006026268005367,1.651928186416626,1.9090940952301023,1.8334853649139404,1.8890624046325684,2.1926565170288086
