file_name,pesq noisy,h4d5 trained on all,h8d5 trained on all,h12d5 trained on all,h24d5 trained on all,h48d5 trained on all,h4d5 transfer on tram,h8d5 transfer on tram,h12d5 transfer on tram,h24d5 transfer on tram,h48d5 transfer on tram
SNRdb5_p251_270_1237,1.4301447868347168,1.987845540046692,2.0371010303497314,1.9161393642425537,2.296396017074585,2.319509744644165,2.215459108352661,2.564161777496338,2.413982629776001,2.404791116714477,2.555999755859375
SNRdb10_p360_191_1237,2.2841360569000244,3.074439287185669,2.986048698425293,2.837652921676636,3.26008677482605,3.228856325149536,3.1447751522064213,2.983189344406128,3.1077086925506587,3.17433762550354,3.373013019561768
SNRdb20_p306_086_1237,2.8781306743621826,3.1558005809783936,3.2516176700592037,3.2598392963409424,3.3849360942840576,3.193013429641724,3.292079448699951,3.4172356128692627,3.402032852172852,3.3524186611175537,2.6078417301177983
SNRdb0_p360_243_1240,1.1527824401855469,1.272341012954712,1.280482292175293,1.2723207473754885,1.4037383794784546,2.0917987823486333,1.3911739587783811,2.080822706222534,1.6075081825256348,1.9667153358459477,1.9283157587051392
SNRdb5_p343_204_1240,1.3165124654769895,1.6882866621017456,1.4879480600357056,2.073917388916016,1.7423179149627686,2.706123352050781,1.6185064315795898,1.9435920715332031,2.2054946422576904,1.8568968772888184,2.0894930362701416
SNRdb10_p360_275_1240,1.9675703048706052,2.560464859008789,2.6830496788024902,2.6183292865753174,2.8701486587524414,2.7986087799072266,2.891892194747925,2.7609002590179443,2.812060832977295,2.9530045986175537,2.8107340335845947
SNRdb20_p249_139_1240,3.1702272891998287,3.4520468711853027,3.264510154724121,3.414437294006348,3.4012393951416016,3.309171438217163,3.3752574920654297,3.4757614135742188,3.725275039672852,3.4784204959869385,3.4105591773986816
SNRdb0_p281_305_1277,1.1661518812179563,1.1840683221817017,1.129833459854126,1.174905776977539,1.2075074911117554,1.2802107334136963,1.1944328546524048,1.2862086296081543,1.1975078582763672,1.3445173501968384,1.4045858383178709
SNRdb5_p298_282_1277,1.1583993434906006,1.276343822479248,1.4187607765197754,1.387500524520874,1.4264612197875977,1.86032509803772,1.4165180921554563,1.3756463527679443,1.650146245956421,1.5132050514221191,1.934965968132019
SNRdb10_p299_307_1277,1.2683874368667605,2.430773973464966,2.748164176940918,2.3985259532928467,2.650949239730835,2.656835556030273,2.419734477996826,2.682149648666382,2.677699327468872,2.55726170539856,2.7039568424224854
SNRdb20_p306_137_1277,1.9156901836395264,2.447117567062378,2.6892077922821045,2.975799560546875,2.689427614212036,2.9287416934967037,2.4199979305267334,2.969654083251953,2.9812843799591064,2.9162631034851074,2.585397720336914
SNRdb0_p339_320_1294,1.1490637063980105,1.396668553352356,1.318978786468506,1.4005489349365234,1.3258919715881348,1.706662654876709,1.4403190612792969,1.424893140792847,1.429110050201416,1.4897985458374023,1.9417507648468015
SNRdb5_p281_151_1294,1.298109531402588,1.341891527175903,1.327887773513794,1.4512240886688232,1.4600059986114502,1.848559617996216,1.5930216312408447,1.4202443361282349,1.4688591957092283,1.6292884349822998,2.0353538990020748
SNRdb10_p306_284_1294,1.3787801265716553,2.074495792388916,2.27720308303833,2.1057386398315434,2.333091735839844,2.1395511627197266,2.0327651500701904,2.0462198257446294,2.1537885665893555,2.4538249969482417,2.193052053451538
SNRdb20_p299_386_1294,2.3021461963653564,2.745413064956665,2.6810932159423833,2.843348503112793,2.8290996551513667,3.0441803932189937,2.8900697231292725,3.009352207183838,2.9597463607788086,3.0246150493621826,3.2487366199493413
SNRdb0_p299_287_1301,1.2991864681243896,1.419233322143555,1.8995922803878784,1.489965319633484,2.0156605243682857,1.8231489658355715,1.813008427619934,1.8263533115386963,1.877199649810791,1.813455581665039,1.8625857830047607
SNRdb5_p249_024_1301,1.6372458934783936,2.435535192489624,2.5318067073822017,2.5621821880340576,2.623948097229004,3.0047056674957275,2.303300142288208,2.685415029525757,2.8847579956054688,2.640300750732422,2.888073444366455
SNRdb10_p249_262_1301,2.218455076217652,2.900954008102417,3.0385406017303467,2.9744644165039062,3.031335830688477,3.5162668228149414,3.314450025558472,3.1744093894958496,3.4817025661468506,3.246598958969116,3.2936577796936035
SNRdb20_p343_090_1301,2.1032299995422363,3.559105634689331,3.402149200439453,3.3374781608581543,3.329753160476685,3.139669179916382,3.522759199142456,3.318732023239136,3.3438761234283447,3.643708229064941,1.924916386604309
SNRdb0_p299_093_1309,1.2702711820602417,1.5467777252197266,2.361133337020874,1.6389901638031006,2.204612493515014,2.636784076690674,2.027433156967163,2.147815704345703,2.1970438957214355,2.1459393501281743,2.0827469825744633
SNRdb5_p360_387_1309,1.751337647438049,2.4498577117919917,2.4414877891540527,2.280728340148926,2.658498764038086,2.4068925380706787,2.65278959274292,2.804400682449341,2.665332317352295,2.670095443725586,2.37874698638916
SNRdb10_p299_396_1309,1.612800121307373,2.4801483154296875,2.6221942901611333,2.543255090713501,2.9201657772064213,2.933220624923706,2.734896421432495,2.825662851333618,2.811455249786377,2.477140188217163,2.9203639030456543
SNRdb20_p339_392_1309,1.770559310913086,3.446934223175049,3.056315660476685,3.152012825012207,3.2816483974456787,3.3907041549682617,3.2846035957336426,3.392882823944092,3.6298828125,3.467716932296753,3.56631851196289
SNRdb0_p299_300_134,1.1178245544433594,1.1416088342666626,1.278042197227478,1.3882750272750854,1.4632837772369385,1.5458412170410156,1.2848635911941528,1.376426339149475,1.3635108470916748,1.2377870082855225,1.4224807024002075
SNRdb5_p249_132_134,1.127558708190918,1.3444921970367432,1.461328625679016,1.4169160127639768,1.7807928323745728,1.7572178840637207,1.3741066455841064,1.487957239151001,1.3557875156402588,1.546683430671692,1.5666873455047607
SNRdb10_p281_181_134,1.3915058374404907,1.4848678112030032,1.4521025419235232,1.4808564186096191,1.5196232795715332,1.619922399520874,1.32589852809906,1.6115522384643557,1.405611872673035,1.4760313034057615,1.8448045253753664
SNRdb20_p360_018_134,1.9722602367401123,2.309638023376465,2.448029041290283,2.3935072422027592,2.4091122150421143,2.94968581199646,2.295881986618042,2.2754409313201904,2.38513731956482,2.3956127166748047,2.532684087753296
SNRdb0_p246_172_1343,1.5011053085327148,2.235191345214844,1.8669593334198,2.1586959362030034,2.354196786880493,2.412616014480591,2.895176649093628,2.5844643115997314,2.79888129234314,2.620490312576294,2.9252851009368896
SNRdb5_p281_296_1343,2.0877251625061035,2.6092915534973145,2.7630751132965092,2.7371904850006104,2.660684108734131,2.7383337020874023,3.0061848163604736,3.0156657695770264,2.9635558128356934,2.7683031558990483,2.6305088996887207
SNRdb10_p281_440_1343,2.7469313144683842,2.5879948139190674,2.215778589248657,2.413234233856201,2.301806926727295,2.242154598236084,2.4120125770568848,2.1771671772003174,2.3259530067443848,2.2806291580200195,2.111765146255493
SNRdb20_p306_115_1343,3.153865337371826,3.524021625518799,3.4848670959472656,3.3130815029144287,3.5345940589904785,3.540470600128174,3.696953773498535,3.554892539978028,3.712064027786255,3.618309736251831,3.27701997756958
SNRdb0_p249_160_1357,1.0946590900421145,1.5146927833557131,1.7178502082824707,1.6646435260772705,1.7594621181488037,1.896465539932251,1.5097036361694336,1.6876115798950195,1.5870494842529297,1.7314925193786619,1.72369647026062
SNRdb5_p339_110_1357,1.2579201459884644,2.430440664291382,2.403834342956543,2.4445171356201167,2.8283987045288086,2.5068225860595703,2.241251230239868,2.571352958679199,2.5941805839538574,2.503331184387207,2.8464701175689697
SNRdb10_p298_300_1357,2.184060573577881,2.485005140304565,2.7090768814086914,2.7729816436767583,2.721348762512207,2.9289014339447017,2.565802335739136,2.4445316791534424,2.625854015350342,2.652930736541748,2.733627796173096
SNRdb20_p246_260_1357,2.8784584999084477,3.356099367141724,3.1748082637786865,3.232796669006348,3.530411720275879,3.1113853454589844,3.4395511150360107,3.1754539012908936,3.1186769008636475,3.2547996044158936,2.8182828426361084
SNRdb0_p246_227_136,1.3530775308609009,1.608144998550415,1.6039607524871826,1.8528900146484373,1.9920754432678225,2.0162420272827153,1.612396001815796,1.7807168960571291,1.8426276445388796,1.9027626514434812,1.9864110946655276
SNRdb5_p249_208_136,1.4751466512680054,2.0365152359008794,2.002926588058472,2.068310499191284,2.17850923538208,2.34707260131836,1.9829443693161009,2.063315868377685,2.0575883388519287,2.3635098934173584,2.090853214263916
SNRdb10_p306_111_136,1.2874990701675415,1.7284083366394043,1.9429726600646973,1.9584465026855469,2.0317122936248784,2.6167433261871342,1.9766147136688232,1.9672400951385496,2.6085197925567627,2.48130202293396,2.45332145690918
SNRdb20_p335_096_136,2.9746782779693604,3.285374402999878,3.391728401184082,3.2803099155426025,2.9832472801208496,3.5971279144287114,3.2761921882629395,3.5658726692199707,3.742740869522095,3.524977922439575,3.554383516311645
SNRdb0_p303_203_1368,1.0821728706359863,1.3540936708450315,1.470653772354126,1.5275685787200928,1.6166728734970093,1.6205650568008425,1.5379487276077268,1.5617475509643557,1.4856024980545044,1.6504942178726196,1.71291184425354
SNRdb5_p299_024_1368,1.3284332752227783,2.034325122833252,2.211966037750244,2.1414539813995357,2.3954825401306152,2.4828484058380127,1.890503168106079,2.1685743331909184,2.1849148273468018,2.3669323921203613,2.517173290252685
SNRdb10_p299_247_1368,1.715792179107666,2.5162982940673833,2.594209909439087,2.5856614112854004,2.596344232559204,2.7406253814697266,2.483271360397339,2.5261571407318115,2.3873753547668457,2.5257716178894043,2.552906990051269
SNRdb20_p303_120_1368,2.4453258514404297,2.6878762245178223,3.0772368907928467,3.1348252296447754,2.9784460067749023,2.886425495147705,3.4489743709564213,3.4297823905944824,3.4482500553131104,3.572641134262085,3.156233072280884
SNRdb0_p306_147_1373,1.0383399724960327,1.1910076141357422,1.2274270057678225,1.2184545993804932,1.20599365234375,1.3305193185806274,1.1757400035858154,1.217668056488037,1.2175920009613037,1.202056646347046,1.3587024211883545
SNRdb5_p335_259_1373,1.2595788240432741,1.5507347583770752,1.819828510284424,1.7737312316894531,1.9652122259140012,2.0569326877593994,1.7205085754394531,1.7352895736694336,1.8692421913146973,1.9019454717636108,2.1012656688690186
SNRdb10_p298_162_1373,1.7320549488067627,1.8999402523040767,2.3064382076263428,2.0328474044799805,2.4116244316101074,2.320669412612915,2.0645251274108887,2.1917994022369385,2.3868205547332764,2.5405747890472408,2.6840929985046387
