file_name,pesq noisy,h4d5 trained on all,h8d5 trained on all,h12d5 trained on all,h24d5 trained on all,h48d5 trained on all,h4d5 transfer on grocery_store,h8d5 transfer on grocery_store,h12d5 transfer on grocery_store,h24d5 transfer on grocery_store,h48d5 transfer on grocery_store
SNRdb0_p360_024_44,1.1965407133102417,1.2336421012878418,1.2149651050567627,1.2094601392745972,1.2224409580230713,1.259219765663147,1.2137713432312012,1.274878978729248,1.301340937614441,1.2947328090667725,1.2731010913848877
SNRdb5_p281_208_44,1.3687615394592283,1.2883799076080322,1.1794660091400146,1.2260760068893433,1.17695415019989,1.3265585899353027,1.490939736366272,1.3325848579406738,1.345736742019653,1.6371507644653318,1.6334950923919678
SNRdb10_p246_352_44,1.3278625011444092,1.5680856704711914,1.616728663444519,1.6776468753814695,1.6731321811676023,1.6909663677215576,1.794517159461975,1.7883106470108032,1.9618003368377688,1.9255399703979488,2.1899235248565674
SNRdb20_p249_217_44,2.315804004669189,2.610332489013672,2.6666371822357178,2.432387590408325,3.1397030353546143,3.0381054878234863,2.1333792209625244,3.0306437015533447,1.8213627338409424,2.888538360595703,2.933560848236084
SNRdb0_p246_338_466,1.114234447479248,1.2388931512832642,1.189615249633789,1.190823316574097,1.304508924484253,1.4926291704177856,1.2452123165130615,1.3177473545074463,1.3898015022277832,1.4752347469329834,1.4703891277313232
SNRdb5_p306_251_466,1.196594476699829,1.6183404922485352,1.5579572916030884,1.5437264442443848,1.7961251735687256,1.939802408218384,1.5376372337341309,1.7628839015960691,1.8198380470275881,1.9528731107711792,1.9101724624633791
SNRdb10_p298_227_466,1.976305723190308,2.618048667907715,2.730799436569214,2.5814223289489746,3.0664422512054443,2.8573076725006104,2.5922229290008545,2.7717645168304443,2.981410503387451,3.1910653114318848,2.8104321956634517
SNRdb20_p343_182_466,1.392319917678833,2.9765017032623287,1.8219757080078125,1.695514440536499,1.7632460594177246,1.838096022605896,1.6721071004867554,2.0266647338867188,1.7855939865112305,1.8861305713653564,2.1264057159423833
SNRdb0_p303_206_488,1.0769186019897459,1.2840837240219116,1.3551740646362305,1.3348536491394043,1.5958708524703982,1.6287602186203003,1.3467557430267334,1.475968599319458,1.470600962638855,1.651766061782837,1.753845453262329
SNRdb5_p303_091_488,1.1938873529434204,1.7298157215118408,1.849536895751953,1.8715257644653318,1.850805759429932,2.143241167068481,1.9054265022277832,1.8078346252441408,1.900826930999756,2.319918632507324,2.098254442214966
SNRdb10_p343_052_488,1.3355913162231443,2.1682484149932857,2.399172067642212,2.2939436435699463,2.4400875568389893,2.545689582824707,2.157146692276001,2.479745388031006,2.2618987560272217,2.712252616882324,2.532292127609253
SNRdb20_p306_124_488,2.2943947315216064,2.802398681640625,2.7687225341796875,2.8397426605224614,2.877704620361328,2.7429001331329346,2.4237852096557617,2.868816375732422,2.5220212936401367,2.6548619270324707,2.992056131362915
SNRdb0_p335_115_489,1.2234492301940918,1.8221167325973509,2.1190142631530757,1.936078667640686,2.1269233226776123,2.047252655029297,2.0810916423797607,2.0052270889282227,2.2249059677124023,2.1934065818786617,2.3657426834106445
SNRdb5_p303_007_489,1.1654716730117798,1.5740177631378174,1.9198377132415767,1.868804931640625,1.8227758407592771,1.948000192642212,1.7750637531280518,1.6827335357666016,1.7411980628967283,2.1123855113983154,1.9313175678253172
SNRdb10_p251_050_489,1.6794304847717283,2.1468636989593506,1.6366548538208008,2.31892728805542,2.3484957218170166,1.669925332069397,2.0759525299072266,2.0965895652771,2.2641887664794917,2.5369181632995605,2.196167230606079
SNRdb20_p343_341_489,2.7175657749176025,3.152597665786743,2.846848249435425,2.945788860321045,3.1088943481445312,3.6260602474212646,2.8081836700439453,2.9475457668304443,2.7862813472747803,3.322293519973755,3.488067150115967
SNRdb0_p281_432_49,1.127216339111328,1.2019307613372805,1.2152495384216309,1.2470903396606443,1.2999862432479858,1.3376916646957395,1.24653160572052,1.3958752155303955,1.3520519733428955,1.406501531600952,1.4913427829742432
SNRdb5_p298_084_49,1.2365015745162964,1.6519308090209959,1.8844954967498782,1.8615949153900144,2.146384954452514,2.1078574657440186,1.734610676765442,2.0148518085479736,2.107464551925659,2.235219955444336,2.1408355236053467
SNRdb10_p306_185_49,1.243756651878357,1.6276777982711792,2.0793931484222408,1.9663870334625244,2.103971242904663,2.1027483940124507,2.0143468379974365,2.2610301971435547,2.1347367763519287,2.294564723968506,2.0884077548980717
SNRdb20_p251_166_49,2.566092729568481,2.4715521335601807,2.572838544845581,3.03488564491272,2.622201919555664,2.6409289836883545,2.3463497161865234,2.7358949184417725,2.530264139175415,2.5241096019744877,2.306589841842652
SNRdb0_p306_115_497,1.0655227899551392,1.2984848022460938,1.5016238689422607,1.4551355838775637,1.5646637678146362,1.7025130987167358,1.374399185180664,1.5413997173309326,1.6541304588317869,1.6965813636779783,1.7255477905273438
SNRdb5_p281_129_497,1.401195406913757,1.6544437408447266,1.746838092803955,1.6755110025405884,1.8853936195373533,2.094879388809204,1.7747523784637451,1.9544289112091064,2.102622032165528,1.9213920831680296,2.0377697944641118
SNRdb10_p246_098_497,1.4703845977783203,2.096048355102539,2.3464829921722408,2.263283491134644,2.2738325595855717,2.3956291675567627,2.0146284103393555,2.2920758724212646,2.419111728668213,2.365011215209961,2.4716565608978267
